"Territorial Unit","Year","Sex","Age","Severely Limited"
"Austria","2004","Women","16-19","0.019"
"Austria","2004","Women","20-24","0.009"

"Austria","2004","Women","25-29","0.02"
"Austria","2004","Women","30-34","0.026"
"Austria","2004","Women","35-39","0.021"
"Austria","2004","Women","40-44","0.055"
"Austria","2004","Women","45-49","0.079"
"Austria","2004","Women","50-54","0.12"
"Austria","2004","Women","55-59","0.121"
"Austria","2004","Women","60-64","0.093"
"Austria","2004","Women","65-69","0.2"
"Austria","2004","Women","70-74","0.267"
"Austria","2004","Women","75-79","0.333"
"Austria","2004","Women","80-84","0.404"
"Austria","2004","Women","85+","0.544"
"Austria","2004","Men","16-19","0.041"
"Austria","2004","Men","20-24","0.016"
"Austria","2004","Men","25-29","0.017"
"Austria","2004","Men","30-34","0.023"
"Austria","2004","Men","35-39","0.038"
"Austria","2004","Men","40-44","0.064"
"Austria","2004","Men","45-49","0.071"
"Austria","2004","Men","50-54","0.133"
"Austria","2004","Men","55-59","0.192"
"Austria","2004","Men","60-64","0.122"
"Austria","2004","Men","65-69","0.116"
"Austria","2004","Men","70-74","0.213"
"Austria","2004","Men","75-79","0.278"
"Austria","2004","Men","80-84","0.311"
"Austria","2004","Men","85+","0.299"
"Belgium","2004","Women","16-19","0.055"
"Belgium","2004","Women","20-24","0.048"
"Belgium","2004","Women","25-29","0.055"
"Belgium","2004","Women","30-34","0.082"
"Belgium","2004","Women","35-39","0.074"
"Belgium","2004","Women","40-44","0.114"
"Belgium","2004","Women","45-49","0.105"
"Belgium","2004","Women","50-54","0.146"
"Belgium","2004","Women","55-59","0.153"
"Belgium","2004","Women","60-64","0.156"
"Belgium","2004","Women","65-69","0.198"
"Belgium","2004","Women","70-74","0.245"
"Belgium","2004","Women","75-79","0.255"
"Belgium","2004","Women","80-84","0.404"
"Belgium","2004","Women","85+","0.462"
"Belgium","2004","Men","16-19","0.019"
"Belgium","2004","Men","20-24","0.045"
"Belgium","2004","Men","25-29","0.046"
"Belgium","2004","Men","30-34","0.046"
"Belgium","2004","Men","35-39","0.076"
"Belgium","2004","Men","40-44","0.069"
"Belgium","2004","Men","45-49","0.113"
"Belgium","2004","Men","50-54","0.125"
"Belgium","2004","Men","55-59","0.108"
"Belgium","2004","Men","60-64","0.16"
"Belgium","2004","Men","65-69","0.175"
"Belgium","2004","Men","70-74","0.192"
"Belgium","2004","Men","75-79","0.232"
"Belgium","2004","Men","80-84","0.211"
"Belgium","2004","Men","85+","0.348"
"Denmark","2004","Women","16-19","0"
"Denmark","2004","Women","20-24","0"
"Denmark","2004","Women","25-29","0"
"Denmark","2004","Women","30-34","0"
"Denmark","2004","Women","35-39","0"
"Denmark","2004","Women","40-44","0"
"Denmark","2004","Women","45-49","0"
"Denmark","2004","Women","50-54","0"
"Denmark","2004","Women","55-59","0"
"Denmark","2004","Women","60-64","0"
"Denmark","2004","Women","65-69","0"
"Denmark","2004","Women","70-74","0"
"Denmark","2004","Women","75-79","0"
"Denmark","2004","Women","80-84","0"
"Denmark","2004","Women","85+","0"
"Denmark","2004","Men","16-19","0"
"Denmark","2004","Men","20-24","0"
"Denmark","2004","Men","25-29","0"
"Denmark","2004","Men","30-34","0"
"Denmark","2004","Men","35-39","0"
"Denmark","2004","Men","40-44","0"
"Denmark","2004","Men","45-49","0"
"Denmark","2004","Men","50-54","0"
"Denmark","2004","Men","55-59","0"
"Denmark","2004","Men","60-64","0"
"Denmark","2004","Men","65-69","0"
"Denmark","2004","Men","70-74","0"
"Denmark","2004","Men","75-79","0"
"Denmark","2004","Men","80-84","0"
"Denmark","2004","Men","85+","0"
"Finland","2004","Women","16-19","0.022"
"Finland","2004","Women","20-24","0.052"
"Finland","2004","Women","25-29","0.032"
"Finland","2004","Women","30-34","0.059"
"Finland","2004","Women","35-39","0.073"
"Finland","2004","Women","40-44","0.105"
"Finland","2004","Women","45-49","0.112"
"Finland","2004","Women","50-54","0.124"
"Finland","2004","Women","55-59","0.125"
"Finland","2004","Women","60-64","0.129"
"Finland","2004","Women","65-69","0.164"
"Finland","2004","Women","70-74","0.224"
"Finland","2004","Women","75-79","0.308"
"Finland","2004","Women","80-84","0.406"
"Finland","2004","Women","85+","0.337"
"Finland","2004","Men","16-19","0.012"
"Finland","2004","Men","20-24","0.032"
"Finland","2004","Men","25-29","0.044"
"Finland","2004","Men","30-34","0.063"
"Finland","2004","Men","35-39","0.078"
"Finland","2004","Men","40-44","0.096"
"Finland","2004","Men","45-49","0.08"
"Finland","2004","Men","50-54","0.139"
"Finland","2004","Men","55-59","0.131"
"Finland","2004","Men","60-64","0.133"
"Finland","2004","Men","65-69","0.2"
"Finland","2004","Men","70-74","0.191"
"Finland","2004","Men","75-79","0.234"
"Finland","2004","Men","80-84","0.352"
"Finland","2004","Men","85+","0.392"
"France","2004","Women","16-19","0.004"
"France","2004","Women","20-24","0.009"
"France","2004","Women","25-29","0.008"
"France","2004","Women","30-34","0.021"
"France","2004","Women","35-39","0.032"
"France","2004","Women","40-44","0.035"
"France","2004","Women","45-49","0.05"
"France","2004","Women","50-54","0.053"
"France","2004","Women","55-59","0.066"
"France","2004","Women","60-64","0.072"
"France","2004","Women","65-69","0.125"
"France","2004","Women","70-74","0.143"
"France","2004","Women","75-79","0.233"
"France","2004","Women","80-84","0.268"
"France","2004","Women","85+","0.382"
"France","2004","Men","16-19","0.008"
"France","2004","Men","20-24","0.02"
"France","2004","Men","25-29","0.019"
"France","2004","Men","30-34","0.027"
"France","2004","Men","35-39","0.037"
"France","2004","Men","40-44","0.031"
"France","2004","Men","45-49","0.045"
"France","2004","Men","50-54","0.072"
"France","2004","Men","55-59","0.109"
"France","2004","Men","60-64","0.086"
"France","2004","Men","65-69","0.129"
"France","2004","Men","70-74","0.127"
"France","2004","Men","75-79","0.239"
"France","2004","Men","80-84","0.287"
"France","2004","Men","85+","0.352"
"Greece","2004","Women","16-19","0.006"
"Greece","2004","Women","20-24","0.005"
"Greece","2004","Women","25-29","0.007"
"Greece","2004","Women","30-34","0.009"
"Greece","2004","Women","35-39","0.008"
"Greece","2004","Women","40-44","0.011"
"Greece","2004","Women","45-49","0.033"
"Greece","2004","Women","50-54","0.051"
"Greece","2004","Women","55-59","0.073"
"Greece","2004","Women","60-64","0.071"
"Greece","2004","Women","65-69","0.13"
"Greece","2004","Women","70-74","0.169"
"Greece","2004","Women","75-79","0.184"
"Greece","2004","Women","80-84","0.216"
"Greece","2004","Women","85+","0.34"
"Greece","2004","Men","16-19","0.012"
"Greece","2004","Men","20-24","0.007"
"Greece","2004","Men","25-29","0.02"
"Greece","2004","Men","30-34","0.01"
"Greece","2004","Men","35-39","0.022"
"Greece","2004","Men","40-44","0.035"
"Greece","2004","Men","45-49","0.024"
"Greece","2004","Men","50-54","0.047"
"Greece","2004","Men","55-59","0.078"
"Greece","2004","Men","60-64","0.062"
"Greece","2004","Men","65-69","0.114"
"Greece","2004","Men","70-74","0.117"
"Greece","2004","Men","75-79","0.188"
"Greece","2004","Men","80-84","0.173"
"Greece","2004","Men","85+","0.163"
"Ireland","2004","Women","16-19","0.013"
"Ireland","2004","Women","20-24","0.017"
"Ireland","2004","Women","25-29","0.015"
"Ireland","2004","Women","30-34","0.04"
"Ireland","2004","Women","35-39","0.043"
"Ireland","2004","Women","40-44","0.065"
"Ireland","2004","Women","45-49","0.07"
"Ireland","2004","Women","50-54","0.055"
"Ireland","2004","Women","55-59","0.061"
"Ireland","2004","Women","60-64","0.093"
"Ireland","2004","Women","65-69","0.121"
"Ireland","2004","Women","70-74","0.131"
"Ireland","2004","Women","75-79","0.206"
"Ireland","2004","Women","80-84","0.193"
"Ireland","2004","Women","85+","0.356"
"Ireland","2004","Men","16-19","0.017"
"Ireland","2004","Men","20-24","0.021"
"Ireland","2004","Men","25-29","0.025"
"Ireland","2004","Men","30-34","0.016"
"Ireland","2004","Men","35-39","0.022"
"Ireland","2004","Men","40-44","0.054"
"Ireland","2004","Men","45-49","0.063"
"Ireland","2004","Men","50-54","0.071"
"Ireland","2004","Men","55-59","0.099"
"Ireland","2004","Men","60-64","0.159"
"Ireland","2004","Men","65-69","0.114"
"Ireland","2004","Men","70-74","0.138"
"Ireland","2004","Men","75-79","0.183"
"Ireland","2004","Men","80-84","0.241"
"Ireland","2004","Men","85+","0.302"
"Italy","2004","Women","16-19","0.005"
"Italy","2004","Women","20-24","0.009"
"Italy","2004","Women","25-29","0.014"
"Italy","2004","Women","30-34","0.01"
"Italy","2004","Women","35-39","0.013"
"Italy","2004","Women","40-44","0.023"
"Italy","2004","Women","45-49","0.028"
"Italy","2004","Women","50-54","0.032"
"Italy","2004","Women","55-59","0.053"
"Italy","2004","Women","60-64","0.061"
"Italy","2004","Women","65-69","0.088"
"Italy","2004","Women","70-74","0.11"
"Italy","2004","Women","75-79","0.18"
"Italy","2004","Women","80-84","0.21"
"Italy","2004","Women","85+","0.348"
"Italy","2004","Men","16-19","0.009"
"Italy","2004","Men","20-24","0.009"
"Italy","2004","Men","25-29","0.024"
"Italy","2004","Men","30-34","0.016"
"Italy","2004","Men","35-39","0.024"
"Italy","2004","Men","40-44","0.024"
"Italy","2004","Men","45-49","0.03"
"Italy","2004","Men","50-54","0.039"
"Italy","2004","Men","55-59","0.055"
"Italy","2004","Men","60-64","0.064"
"Italy","2004","Men","65-69","0.083"
"Italy","2004","Men","70-74","0.109"
"Italy","2004","Men","75-79","0.128"
"Italy","2004","Men","80-84","0.172"
"Italy","2004","Men","85+","0.289"
"Luxembourg","2004","Women","16-19","0.014"
"Luxembourg","2004","Women","20-24","0.012"
"Luxembourg","2004","Women","25-29","0.031"
"Luxembourg","2004","Women","30-34","0.048"
"Luxembourg","2004","Women","35-39","0.02"
"Luxembourg","2004","Women","40-44","0.092"
"Luxembourg","2004","Women","45-49","0.035"
"Luxembourg","2004","Women","50-54","0.109"
"Luxembourg","2004","Women","55-59","0.101"
"Luxembourg","2004","Women","60-64","0.146"
"Luxembourg","2004","Women","65-69","0.153"
"Luxembourg","2004","Women","70-74","0.17"
"Luxembourg","2004","Women","75-79","0.25"
"Luxembourg","2004","Women","80-84","0.33"
"Luxembourg","2004","Women","85+","0.574"
"Luxembourg","2004","Men","16-19","0.02"
"Luxembourg","2004","Men","20-24","0.035"
"Luxembourg","2004","Men","25-29","0.058"
"Luxembourg","2004","Men","30-34","0.051"
